youtube_id	piece_id	gabc_file	title	playlist	score
pa2X4pR0huQ	474	474.gabc	Missa 5: Kyrie	Kyriale	60
1GmZexJ2qMw	337	337.gabc	Missa 5: Gloria	Kyriale	60
KC_KcsxcpgU	2984	2984.gabc	Missa 5: Sanctus	Kyriale	60
ehBZ9jFbGvM	1241	1241.gabc	Missa 5: Agnus Dei	Kyriale	60
ddI2xZ2x2qs	1061	1061.gabc	Missa 4: Kyrie (Cunctipotens genitor Deus)	Kyriale	60
-cA06fcaXOA	2978	2978.gabc	Missa 4: Gloria	Kyriale	60
p1XTkBO8G9Y	2518	2518.gabc	Missa 4: Sanctus	Kyriale	60
kRRHFjy3VxU	264	264.gabc	Missa 4: Agnus Dei	Kyriale	60
DdHW2OcvjJM	353	353.gabc	Kyriale - Missa 4: Ite missa est	Kyriale	60
hOqGkmpinRg	309	309.gabc	Missa 2: Kyrie (Kyrie fons bonitatis)	Kyriale	60
m58xV-A88OM	862	862.gabc	Missa 2: Gloria	Kyriale	60
vp25jRkVNMY	1279	1279.gabc	Missa 2: Sanctus	Kyriale	60
RUmRSxj5MN0	555	555.gabc	Missa 2: Agnus Dei	Kyriale	60
Gvm6QjZN4Pg	825	825.gabc	Missa 3: Kyrie (Kyrie Deus sempiterne)	Kyriale	60
4-zAmY1yiSs	71	71.gabc	Missa 3: Gloria	Kyriale	60
rGlh-OR5lvI	825	825.gabc	Missa 3: Kyrie (Rector cosmi pie)	Kyriale	60
L7lA8Kp75G8	71	71.gabc	Missa 3: Gloria B	Kyriale	60
08XsH-dhmFY	566	566.gabc	Missa 3: Sanctus	Kyriale	60
tkWVUk5IjQU	578	578.gabc	Missa 3: Agnus Dei	Kyriale	60
y0HmOZnruQQ	1143	1143.gabc	Missa 1: Kyrie 1 (Lux et origo)	Tempus Paschale	60
8oSV3jBeurk	1143	1143.gabc	Missa 1: Kyrie 2 (Te Christe rex supplices)	Kyriale	60
dKUMKkdn8ow	1143	1143.gabc	Missa 1: Kyrie 3 (Conditor Kyrie omnium)	Kyriale	60
4V2g10vWGJE	2782	2782.gabc	Missa 1: Gloria	Tempus Paschale	60
0iH9fyFAQKA	300	300.gabc	Missa 1: Sanctus	Tempus Paschale	60
jFp9f8QDQ2w	2977	2977.gabc	Missa 1: Agnus Dei	Tempus Paschale	60
