youtube_id	piece_id	gabc_file	title	playlist	score	has_nabc
pa2X4pR0huQ	474	474.gabc	Missa 5: Kyrie	Kyriale	60	False
1GmZexJ2qMw	337	337.gabc	Missa 5: Gloria	Kyriale	60	False
KC_KcsxcpgU	2984	2984.gabc	Missa 5: Sanctus	Kyriale	60	False
ehBZ9jFbGvM	1241	1241.gabc	Missa 5: Agnus Dei	Kyriale	60	False
ddI2xZ2x2qs	1061	1061.gabc	Missa 4: Kyrie (Cunctipotens genitor Deus)	Kyriale	60	False
-cA06fcaXOA	2978	2978.gabc	Missa 4: Gloria	Kyriale	60	False
p1XTkBO8G9Y	2518	2518.gabc	Missa 4: Sanctus	Kyriale	60	False
kRRHFjy3VxU	264	264.gabc	Missa 4: Agnus Dei	Kyriale	60	False
DdHW2OcvjJM	353	353.gabc	Kyriale - Missa 4: Ite missa est	Kyriale	60	False
hOqGkmpinRg	309	309.gabc	Missa 2: Kyrie (Kyrie fons bonitatis)	Kyriale	60	False
m58xV-A88OM	862	862.gabc	Missa 2: Gloria	Kyriale	60	False
vp25jRkVNMY	1279	1279.gabc	Missa 2: Sanctus	Kyriale	60	False
RUmRSxj5MN0	555	555.gabc	Missa 2: Agnus Dei	Kyriale	60	False
Gvm6QjZN4Pg	825	825.gabc	Missa 3: Kyrie (Kyrie Deus sempiterne)	Kyriale	60	False
4-zAmY1yiSs	71	71.gabc	Missa 3: Gloria	Kyriale	60	False
rGlh-OR5lvI	825	825.gabc	Missa 3: Kyrie (Rector cosmi pie)	Kyriale	60	False
L7lA8Kp75G8	71	71.gabc	Missa 3: Gloria B	Kyriale	60	False
08XsH-dhmFY	566	566.gabc	Missa 3: Sanctus	Kyriale	60	False
tkWVUk5IjQU	578	578.gabc	Missa 3: Agnus Dei	Kyriale	60	False
y0HmOZnruQQ	1143	1143.gabc	Missa 1: Kyrie 1 (Lux et origo)	Tempus Paschale	60	False
8oSV3jBeurk	1143	1143.gabc	Missa 1: Kyrie 2 (Te Christe rex supplices)	Kyriale	60	False
dKUMKkdn8ow	1143	1143.gabc	Missa 1: Kyrie 3 (Conditor Kyrie omnium)	Kyriale	60	False
4V2g10vWGJE	2782	2782.gabc	Missa 1: Gloria	Tempus Paschale	60	False
0iH9fyFAQKA	300	300.gabc	Missa 1: Sanctus	Tempus Paschale	60	False
jFp9f8QDQ2w	2977	2977.gabc	Missa 1: Agnus Dei	Tempus Paschale	60	False
RYHbdK_W0D4	2987	2987.gabc	Kyriale - Missa 1: Ite missa est B	Kyriale	90	False
ie8iD5CopKg	1280	1280.gabc	Kyriale - Missa 2: Ite missa est A	Kyriale	90	False
EJg5swFBnNU	804	804.gabc	Kyriale - Missa 2: Ite missa est B	Kyriale	90	False
mpEW-_XwGzY	2903	2903.gabc	Missa 6: Kyrie (Kyrie rex genitor)	Missa 6	60	False
GG_O6uL0Dfw	321	321.gabc	Missa 6: Gloria	Missa 6	60	False
Z7QW7IXLuHA	431	431.gabc	Missa 6: Sanctus	Missa 6	60	False
NveJqUDp7GM	387	387.gabc	Missa 6: Agnus Dei	Missa 6	60	False
GYjy8nLGxgY	1262	1262.gabc	Missa 7: Kyrie (Kyrie rex splendens)	Missa 7	60	False
xmy3QKxlcZc	721	721.gabc	Missa 7: Gloria	Missa 7	60	False
nYjhlByJkJ8	1089	1089.gabc	Missa 7: Sanctus	Missa 7	60	False
IfYFpvtvbbc	2985	2985.gabc	Missa 7: Agnus Dei	Missa 7	60	False
I4iPrf8R06c	1184	1184.gabc	Missa 8 (De angelis): Kyrie	Missa 8	60	False
ms46TxtstPI	961	961.gabc	Missa 8 (De angelis): Gloria	Missa 8	60	False
xb9NQKA2U7w	1384	1384.gabc	Missa 8 (De angelis): Sanctus	Missa 8	60	False
R1obGtH4dZw	2760	2760.gabc	Missa 8 (De angelis): Agnus Dei	Missa 8	60	False
ARXyRmBaIRI	2976	2976.gabc	Missa 9: Kyrie (Cum iubilo)	Missa 9	60	False
HHWv-Czle9w	2771	2771.gabc	Missa 9: Gloria	Missa 9	60	False
iIev5pPIbm8	587	587.gabc	Missa 9: Sanctus	Missa 9	60	False
6X1pe0Y43ac	707	707.gabc	Missa 9: Agnus Dei	Missa 9	60	False
OCV2MGOlsbk	795	795.gabc	Missa 10: Kyrie (Alme Pater)	Missa 10	60	False
ARSLpthcAF0	1204	1204.gabc	Missa 10: Gloria	Missa 10	60	False
tnu_GjGF9hU	2770	2770.gabc	Missa 10: Sanctus	Missa 10	60	False
hsWHnPEm7hA	2981	2981.gabc	Missa 10: Agnus Dei	Missa 10	60	False
eiq_V6v4UJE	2982	2982.gabc	Missa 11: Kyrie A (Orbis factor)	Missa 11	60	False
