youtube_id,piece_id
90GEpLLZZ8E,10990
NF931f1jFtM,1230
aNvyxncbLWs,1013
UiQg-ubAkP0,726
CvJZ12IfmH0,824
Zjp9jW1q-Ik,2602
jUOuWvwRBRc,15126
iCv0vlwNljg,15128
DHH07-Qo0a8,1495
oEuNdnwmVTA,3087
LcfmLAyWNPI,6828
mEvLxEcvFGE,6569
kh_nciCSgqM,17356
XG0zcxb0njk,15124
qye8USrmoWE,15104
BAAx32JZS2Y,15103
wMGJhARfA-I,3155
HW5XQjMwIAE,3130
kploPbyP3es,15107
5JboYPSKfRA,3197
Q0KogkJsYuc,15121
pbIsAqxAglY,15105
7VbLOs5Oj_8,13255
GpQ3MsQvQ4Y,15108
rMnjwuYl1Gs,15093
6phM-UdUH4o,1661
ZrjYklcFmE8,8234
EncOqQIjZXc,1388
BvQFdxPywiE,4813
0pJ3pCse1pc,1395
WuVlF88Shps,11172
ueexkdwx80k,958
3lHW0OAHBCk,47
lQ9t8j57dDc,10093
qsXMjxpHLRI,3301
QWwaxmAA_ls,1976
CINVY215T5U,1043
rePup3UK348,1075
SXzbUGoAgRU,761
Ty9eJAL9Ybg,18411
YqS0Rh-VBUo,725
5pIzbx6p44Q,952
n4hSRYYWogY,1423
y3pzu4Wx8Ao,416
KcUSkZYPiNs,975
wIG9Qh43_1o,1260
26JhFgFbLFo,25
dSR7xLACaVU,1042
UwuSoddSjh8,275
7amE6gDU7bc,15277
SX93gBpxbhg,10807
HAOACCjbxgM,536
BvmusMQcwQc,446
uZ-ZWdrT_0g,668
Li7Kc-3OmAA,579
Uu9KiuooUrY,135
6z4cYFtBHQo,1341
2uWkzyylLFQ,2247
LlRQqPdDKf8,2247
g78WK_bd08A,8407
m1i8cED60tA,1348
9KvliebqD38,585
JhEj0V4N6Rk,633
S-EL7u99_uw,1040
yT-WV9A7L34,860
WceRUblj038,470
H6y8g4dN7qE,1151
4ndzlmffSO4,39
EEbaDPmxAUE,1355
U4YmsSm95C4,17
eijM6mlm3_0,57
vDPP4M2MsLc,211
LIrlVFw_N88,608
twykn0Pfpls,263
NZo-uJdg7yY,990
UX1T3_ROHsM,981
GoV3aBZhhlk,107
w3nW7kzNy_Q,14083
xIzGIvwBC1Y,1762
TEBaLkUEGXw,4472
UamvkgmoYDo,15200
dqXaev81zdE,1197
COB2Y4qQ6k4,1091
v-yMQOlxsQU,405
t3kJhZnPzGI,13844
BYP7xiynnrs,8125
hAXnXGF6Hag,1222
EOfcMC3wAXA,10293
9LudI6APiVg,1923
W1kfEyqCz8E,1315
1CijAligdzE,1150
_c6ftPgdSbQ,377
JqSgEzpwBRg,1135
TTPvDl4QIJ8,1150
LCjklcdpP4Q,869
hgI-2J01oyw,1762
L_bR2IKBrdc,758
-6daZ4lQ_P4,16603
cVRFVPx2noU,3307
yeMpoggdMKA,11194
QO90NUsbmeg,1562
iaiQSM9bWVE,822
RGJO6MjN0uo,810
5MwXuz6mK08,1522
TisfLRLKFCo,1361
owM-MENHHnk,593
4vImfFaQTgA,846
8oFe4dcku0E,924
p6hoAqCnllk,1030
chg6bCjRSw8,813
w6lTUbwq8zY,159
3iqCGv9vzUg,10038
Pfq2Q3o78_Q,13575
-TY6Py6tXFw,3315
yj_ci651-yI,10234
BDBUV4HNoo8,3753
q-wLdH5UFVk,657
aEoshuP5IWY,14083
5u7jTuDBgA4,2923
RoApQ6YKzaE,13621
5Y0m4FYhFlY,14083
SmW57Srlafc,181
PhSIJ1LcC-k,11192
m37IkLbDufo,11193
uoR8vqSHdOY,7482
tUrCXgUvBII,2527
xetWJjhOeDE,7297
a5eHtwernuM,2599
-i1No35bSZk,10598
UY-GB4ffTRw,1169
gC15A8mO6rg,8697
umtBFRGHMi0,
IhO33dl9qlI,2
YCBceN5Wtb0,486
aj7oB7FrkWc,13460
blQfzT2Ojsg,249
47BXz5rMlNs,157
mePp00fqID4,8261
D2FwqpBy8rY,8261
lJgJyJpEzy4,17232
lYCpUO2MsFE,
gMHmoAFMLN8,8288
tWWwhvtlUZg,8261
nXCzcOx5VH0,8261
1x8gGD81ptk,157
1ibV8W1ELgw,1128
vVgj8oRYMxQ,8261
z7jH7F4mpRw,17232
Hj-NPJQwrlE,249
8Et9d2rCMyw,8288
Np6cDekC6WI,8261
hyl4aNtZ2lg,8261
tiy8YLoiOlw,8288
Ayzv6pqdMMw,15235
0cYDDyLVDNw,8261
FCNjFs-b4_g,15092
aE5WCY8U0cQ,7810
szb7dS5x9Jo,457
Zybwg_8zfnc,10065
x-dNeEKtdjA,912
zrD1oITanrE,255
