youtube_id	piece_id	gabc_file	title	playlist	score
oJSbjZeAqLU	303	303.gabc	Missa 11: Gloria	Missa 11	60
xkj4tJ20azA	1106	1106.gabc	Missa 11: Sanctus	Missa 11	60
uQRLQxsj8Xc	1243	1243.gabc	Missa 11: Agnus Dei	Missa 11	60
3g8U59-piJo	2068	2068.gabc	Missa 12: Kyrie (Pater cuncta)	Missa 12	60
PLgI7mJYy1g	2114	2114.gabc	Missa 12: Gloria	Missa 12	60
lZ6b-pkhxbg	1062	1062.gabc	Missa 12: Sanctus	Missa 12	60
M0f4Iu0EXBk	759	759.gabc	Missa 12: Agnus Dei	Missa 12	60
YFsmlyx1ozM	137	137.gabc	Missa 13: Kyrie (Stelliferi conditor orbis)	Missa 13	60
rvjmUPNgh34	2107	2107.gabc	Missa 13: Gloria	Missa 13	60
koGkL0biN7E	1067	1067.gabc	Missa 13: Sanctus	Missa 13	60
17rG_3h1bmw	2886	2886.gabc	Missa 13: Agnus Dei	Missa 13	60
8VSEoicOZgo	441	441.gabc	Missa 14: Kyrie (Iesu redemptor)	Missa 14	60
gFdPt_tmoe8	908	908.gabc	Missa 14: Gloria	Missa 14	60
8CSTnxUyY-0	2979	2979.gabc	Missa 14: Sanctus	Missa 14	60
qmpESS6x9rY	2076	2076.gabc	Missa 14: Agnus Dei	Missa 14	60
6xA_Xs_dMA4	393	393.gabc	Missa 15: Kyrie (Dominator Deus)	Missa 15	60
g927o-nQa-U	2975	2975.gabc	Missa 15: Gloria	Missa 15	60
FCk0qIWyxB0	386	386.gabc	Missa 15: Sanctus	Missa 15	60
WjrXOmAT-f4	959	959.gabc	Missa 15: Agnus Dei	Missa 15	60
rHKU7q4cNbY	545	545.gabc	Missa 16: Kyrie	Missa 16	60
8XE_zevRwQM	2990	2990.gabc	Missa 16: Sanctus	Missa 16	60
wt5Kjle07W4	1336	1336.gabc	Missa 16: Agnus Dei	Missa 16	60
E1jkWg20_yE	168	168.gabc	Missa 17: Kyrie A (Kyrie salve)	Missa 17	60
HkMu3EAeOCE	168	168.gabc	Missa 17: Kyrie B	Missa 17	60
rCV23TL2veM	168	168.gabc	Missa 17: Kyrie C	Missa 17	60
PLLZPpy5dWg	871	871.gabc	Missa 17: Sanctus	Missa 17	60
Gln5Kj3kdpE	1137	1137.gabc	Missa 17: Agnus Dei	Missa 17	60
o08k_nv1l-s	2522	2522.gabc	Missa 18: Kyrie A (Deus genitor alme)	Missa 18	60
PFFUd-1Aa7U	2522	2522.gabc	Missa 18: Kyrie B (Ad Missam pro defunctis)	Missa 18	60
GKHyyE2nVS4	298	298.gabc	Missa 18: Sanctus	Missa 18	60
10nCFDXN2go	2412	2412.gabc	Missa 18: Agnus Dei	Missa 18	60
gogbwq4PTLg	344	344.gabc	Credo 1	Credo	90
PXQpeYricrI	2983	2983.gabc	Credo 2	Credo	90
yM0McJY7kbQ	749	749.gabc	Credo 3	Credo	90
fGOwBS2mY_g	678	678.gabc	Credo 4	Credo	90
GKkWpb4VEpA	955	955.gabc	Credo 5	Credo	90
xUrz1GWvEoo	1870	1870.gabc	Credo 6	Credo	90
00Oi8r8pKIw	10613	10613.gabc	Credo - more ambrosiano	Kyriale	90
IdETFY-jCYo	2993	2993.gabc	Kyriale - cantus ad libitum - Kyrie 1 (Clemens Rector)	Kyriale	80
PFjphgnlWzY	2021	2021.gabc	Kyriale - Cantus ad libitum - Kyrie 2 (Summe Deus)	Kyriale	80
4AX_N_rXObw	2363	2363.gabc	Kyriale - Cantus ad libitum - Kyrie 7 (Splendor aeterne)	Kyriale	80
M1GB9ZCqfTc	2468	2468.gabc	Kyriale - Cantus ad libitum - Kyrie 8 (Firmator sancte)	Kyriale	80
RORWaXbmVak	71	71.gabc	Kyriale - Cantus ad libitum - Gloria I	Kyriale	70
hhFPU1fqM3I	71	71.gabc	Kyriale - Cantus ad libitum - Gloria II	Kyriale	70
PtqRdEWEuZ4	300	300.gabc	Kyriale - cantus ad libitum - Sanctus 1	Kyriale	70
m0ICh4YNO7w	1279	1279.gabc	Kyriale - Cantus ad libitum - Sanctus 2	Kyriale	70
OTgPwGC_WCs	566	566.gabc	Kyriale -Cantus ad libitum - Sanctus 3	Kyriale	70
jxjZwE1SAIw	2850	2850.gabc	Kyriale - Cantus ad libitum - Agnus Dei 1	Kyriale	70
yfOPezsVYoY	555	555.gabc	Kyriale - Cantus ad libitum - Agnus Dei 2	Kyriale	70
cIXzdbgawy4	2254	2254.gabc	Kyriale - Cantus ad libitum - Kyrie 4 (Kyrie altissime)	Kyriale	80
